opcode_hex,java_mnemonic,java_mode,java_bytes,java_base_cycles,wdc_token,wdc_mnemonic_guess,mnemonic_match_guess,spec_mnemonic_ref,spec_mode_ref,spec_cycles_ref,cycle_compare,overall_compare
45,EOR,ZPG,2,3,eor_zpg,EOR,yes,EOR,ZPG,3,match,match
46,LSR,ZPG,2,5,lsr_s_zpg,LSR,yes,LSR,ZPG,5,match,match
47,NOP,IMP,1,1,rmb_bzp,RMB,no,NOP,IMP,1,match,mismatch
48,PHA,IMP,1,3,pha_imp,PHA,yes,PHA,IMP,3,match,match
49,EOR,IMM,2,2,eor_imm,EOR,yes,EOR,IMM,2,match,match
4A,LSR,ACC,1,2,lsr_acc,LSR,yes,LSR,ACC,2,match,match
4B,NOP,IMP,1,1,nop_c_imp,NOP,yes,NOP,IMP,1,match,match
4C,JMP,ABS,3,3,jmp_adr,JMP,yes,JMP,ABS,3,match,match
4D,EOR,ABS,3,4,eor_aba,EOR,yes,EOR,ABS,4,match,match
4E,LSR,ABS,3,6,lsr_c_aba,LSR,yes,LSR,ABS,6,match,match
4F,NOP,IMP,1,1,bbr_zpb,BBR,no,NOP,IMP,1,match,mismatch
50,BVC,REL,2,2,bvc_rel,BVC,yes,BVC,REL,1/3,match,match
51,EOR,IND_Y,2,5,eor_s_idy,EOR,yes,EOR,IND_Y,3/6,match,match
52,EOR,ZPG_IND,2,5,eor_zpi,EOR,yes,EOR,ZPG_IND,5,match,match
53,NOP,IMP,1,1,nop_c_imp,NOP,yes,NOP,IMP,1,match,match
54,NOP,IMP,2,4,nop_s_zpx,NOP,yes,NOP,ZPG_X,4,match,match
55,EOR,ZPG_X,2,4,eor_s_zpx,EOR,yes,EOR,ZPG_X,4,match,match
56,LSR,ZPG_X,2,6,lsr_s_zpx,LSR,yes,LSR,ZPG_X,6,match,match
57,NOP,IMP,1,1,rmb_bzp,RMB,no,NOP,IMP,1,match,mismatch
58,CLI,IMP,1,2,cli_imp,CLI,yes,CLI,IMP,2,match,match
59,EOR,ABS_Y,3,4,eor_s_aby,EOR,yes,EOR,ABS_Y,2/5,match,match
5A,PHY,IMP,1,3,phy_imp,PHY,yes,PHY,IMP,3,match,match
5B,NOP,IMP,1,1,nop_c_imp,NOP,yes,NOP,IMP,1,match,match
5C,NOP,IMP,3,8,nop_c_aba,NOP,yes,NOP,ABS,8,match,match
5D,EOR,ABS_X,3,4,eor_s_abx,EOR,yes,EOR,ABS_X,2/5,match,match
5E,LSR,ABS_X,3,6,lsr_s_abx,LSR,yes,LSR,ABS_X,7,mismatch,mismatch
5F,NOP,IMP,1,1,bbr_zpb,BBR,no,NOP,IMP,1,match,mismatch
60,RTS,IMP,1,6,rts_s_imp,RTS,yes,RTS,IMP,6,match,match
61,ADC,IND_X,2,6,adc_s_idx,ADC,yes,ADC,IND_X,5/7,match,match
62,NOP,IMP,2,2,nop_imm,NOP,yes,NOP,IMM,2,match,match
63,NOP,IMP,1,1,nop_c_imp,NOP,yes,NOP,IMP,1,match,match
64,STZ,ZPG,2,3,stz_zpg,STZ,yes,STZ,ZPG,3,match,match
65,ADC,ZPG,2,3,adc_c_zpg,ADC,yes,ADC,ZPG,2/4,match,match
66,ROR,ZPG,2,5,ror_s_zpg,ROR,yes,ROR,ZPG,5,match,match
67,NOP,IMP,1,1,rmb_bzp,RMB,no,NOP,IMP,1,match,mismatch
68,PLA,IMP,1,4,pla_s_imp,PLA,yes,PLA,IMP,4,match,match
69,ADC,IMM,2,2,adc_c_imm,ADC,yes,ADC,IMM,1/3,match,match
6A,ROR,ACC,1,2,ror_acc,ROR,yes,ROR,ACC,2,match,match
6B,NOP,IMP,1,1,nop_c_imp,NOP,yes,NOP,IMP,1,match,match
6C,JMP,ABS_IND,3,6,jmp_s_ind,JMP,yes,JMP,ABS_IND,6,match,match
6D,ADC,ABS,3,4,adc_c_aba,ADC,yes,ADC,ABS,3/5,match,match
6E,ROR,ABS,3,6,ror_c_aba,ROR,yes,ROR,ABS,6,match,match
6F,NOP,IMP,1,1,bbr_zpb,BBR,no,NOP,IMP,1,match,mismatch
70,BVS,REL,2,2,bvs_rel,BVS,yes,BVS,REL,1/3,match,match
71,ADC,IND_Y,2,5,adc_s_idy,ADC,yes,ADC,IND_Y,3/7,match,match
72,ADC,ZPG_IND,2,5,adc_c_zpi,ADC,yes,ADC,ZPG_IND,4/6,match,match
73,NOP,IMP,1,1,nop_c_imp,NOP,yes,NOP,IMP,1,match,match
74,STZ,ZPG_X,2,4,stz_s_zpx,STZ,yes,STZ,ZPG_X,4,match,match
75,ADC,ZPG_X,2,4,adc_s_zpx,ADC,yes,ADC,ZPG_X,3/5,match,match
76,ROR,ZPG_X,2,6,ror_s_zpx,ROR,yes,ROR,ZPG_X,6,match,match
77,NOP,IMP,1,1,rmb_bzp,RMB,no,NOP,IMP,1,match,mismatch
78,SEI,IMP,1,2,sei_imp,SEI,yes,SEI,IMP,2,match,match
79,ADC,ABS_Y,3,4,adc_s_aby,ADC,yes,ADC,ABS_Y,2/6,match,match
7A,PLY,IMP,1,4,ply_s_imp,PLY,yes,PLY,IMP,4,match,match
7B,NOP,IMP,1,1,nop_c_imp,NOP,yes,NOP,IMP,1,match,match
7C,JMP,ABS_IND_X,3,6,jmp_s_iax,JMP,yes,JMP,ABS_IND_X,6,match,match
7D,ADC,ABS_X,3,4,adc_s_abx,ADC,yes,ADC,ABS_X,2/6,match,match
7E,ROR,ABS_X,3,6,ror_s_abx,ROR,yes,ROR,ABS_X,7,mismatch,mismatch
7F,NOP,IMP,1,1,bbr_zpb,BBR,no,NOP,IMP,1,match,mismatch
80,BRA,REL,2,2,bra_rel,BRA,yes,BRA,REL,2/3,match,match
81,STA,IND_X,2,6,sta_s_idx,STA,yes,STA,IND_X,6,match,match
82,NOP,IMP,2,2,nop_imm,NOP,yes,NOP,IMM,2,match,match
83,NOP,IMP,1,1,nop_c_imp,NOP,yes,NOP,IMP,1,match,match
84,STY,ZPG,2,3,sty_zpg,STY,yes,STY,ZPG,3,match,match
85,STA,ZPG,2,3,sta_zpg,STA,yes,STA,ZPG,3,match,match
86,STX,ZPG,2,3,stx_zpg,STX,yes,STX,ZPG,3,match,match
87,NOP,IMP,1,1,smb_bzp,SMB,no,NOP,IMP,1,match,mismatch
88,DEY,IMP,1,2,dey_imp,DEY,yes,DEY,IMP,2,match,match
89,BIT,IMM,2,2,bit_imm,BIT,yes,BIT,IMM,2,match,match
8A,TXA,IMP,1,2,txa_imp,TXA,yes,TXA,IMP,2,match,match
8B,NOP,IMP,1,1,nop_c_imp,NOP,yes,NOP,IMP,1,match,match
8C,STY,ABS,3,4,sty_aba,STY,yes,STY,ABS,4,match,match
8D,STA,ABS,3,4,sta_aba,STA,yes,STA,ABS,4,match,match
8E,STX,ABS,3,4,stx_aba,STX,yes,STX,ABS,4,match,match
8F,NOP,IMP,1,1,bbs_zpb,BBS,no,NOP,IMP,1,match,mismatch
90,BCC,REL,2,2,bcc_rel,BCC,yes,BCC,REL,1/3,match,match
91,STA,IND_Y,2,6,sta_s_idy,STA,yes,STA,IND_Y,6,match,match
92,STA,ZPG_IND,2,5,sta_zpi,STA,yes,STA,ZPG_IND,5,match,match
93,NOP,IMP,1,1,nop_c_imp,NOP,yes,NOP,IMP,1,match,match
94,STY,ZPG_X,2,4,sty_s_zpx,STY,yes,STY,ZPG_X,4,match,match
95,STA,ZPG_X,2,4,sta_s_zpx,STA,yes,STA,ZPG_X,4,match,match
96,STX,ZPG_Y,2,4,stx_s_zpy,STX,yes,STX,ZPG_Y,4,match,match
97,NOP,IMP,1,1,smb_bzp,SMB,no,NOP,IMP,1,match,mismatch
98,TYA,IMP,1,2,tya_imp,TYA,yes,TYA,IMP,2,match,match
99,STA,ABS_Y,3,5,sta_s_aby,STA,yes,STA,ABS_Y,5,match,match
9A,TXS,IMP,1,2,txs_imp,TXS,yes,TXS,IMP,2,match,match
9B,NOP,IMP,1,1,nop_c_imp,NOP,yes,NOP,IMP,1,match,match
9C,STZ,ABS,3,4,stz_aba,STZ,yes,STZ,ABS,4,match,match
9D,STA,ABS_X,3,5,sta_s_abx,STA,yes,STA,ABS_X,5,match,match
9E,STZ,ABS_X,3,5,stz_s_abx,STZ,yes,STZ,ABS_X,5,match,match
9F,NOP,IMP,1,1,bbs_zpb,BBS,no,NOP,IMP,1,match,mismatch
A0,LDY,IMM,2,2,ldy_imm,LDY,yes,LDY,IMM,2,match,match
A1,LDA,IND_X,2,6,lda_s_idx,LDA,yes,LDA,IND_X,6,match,match
A2,LDX,IMM,2,2,ldx_imm,LDX,yes,LDX,IMM,2,match,match
A3,NOP,IMP,1,1,nop_c_imp,NOP,yes,NOP,IMP,1,match,match
A4,LDY,ZPG,2,3,ldy_zpg,LDY,yes,LDY,ZPG,3,match,match
A5,LDA,ZPG,2,3,lda_zpg,LDA,yes,LDA,ZPG,3,match,match
A6,LDX,ZPG,2,3,ldx_zpg,LDX,yes,LDX,ZPG,3,match,match
A7,NOP,IMP,1,1,smb_bzp,SMB,no,NOP,IMP,1,match,mismatch
A8,TAY,IMP,1,2,tay_imp,TAY,yes,TAY,IMP,2,match,match
A9,LDA,IMM,2,2,lda_imm,LDA,yes,LDA,IMM,2,match,match
AA,TAX,IMP,1,2,tax_imp,TAX,yes,TAX,IMP,2,match,match
AB,NOP,IMP,1,1,nop_c_imp,NOP,yes,NOP,IMP,1,match,match
AC,LDY,ABS,3,4,ldy_aba,LDY,yes,LDY,ABS,4,match,match
AD,LDA,ABS,3,4,lda_aba,LDA,yes,LDA,ABS,4,match,match
AE,LDX,ABS,3,4,ldx_aba,LDX,yes,LDX,ABS,4,match,match
AF,NOP,IMP,1,1,bbs_zpb,BBS,no,NOP,IMP,1,match,mismatch
B0,BCS,REL,2,2,bcs_rel,BCS,yes,BCS,REL,1/3,match,match
B1,LDA,IND_Y,2,5,lda_s_idy,LDA,yes,LDA,IND_Y,3/6,match,match
B2,LDA,ZPG_IND,2,5,lda_zpi,LDA,yes,LDA,ZPG_IND,5,match,match
B3,NOP,IMP,1,1,nop_c_imp,NOP,yes,NOP,IMP,1,match,match
B4,LDY,ZPG_X,2,4,ldy_s_zpx,LDY,yes,LDY,ZPG_X,4,match,match
B5,LDA,ZPG_X,2,4,lda_s_zpx,LDA,yes,LDA,ZPG_X,4,match,match
B6,LDX,ZPG_Y,2,4,ldx_s_zpy,LDX,yes,LDX,ZPG_Y,4,match,match
B7,NOP,IMP,1,1,smb_bzp,SMB,no,NOP,IMP,1,match,mismatch
B8,CLV,IMP,1,2,clv_imp,CLV,yes,CLV,IMP,2,match,match
B9,LDA,ABS_Y,3,4,lda_s_aby,LDA,yes,LDA,ABS_Y,2/5,match,match
BA,TSX,IMP,1,2,tsx_imp,TSX,yes,TSX,IMP,2,match,match
BB,NOP,IMP,1,1,nop_c_imp,NOP,yes,NOP,IMP,1,match,match
BC,LDY,ABS_X,3,4,ldy_s_abx,LDY,yes,LDY,ABS_X,2/5,match,match
BD,LDA,ABS_X,3,4,lda_s_abx,LDA,yes,LDA,ABS_X,2/5,match,match
BE,LDX,ABS_Y,3,4,ldx_s_aby,LDX,yes,LDX,ABS_Y,2/5,match,match
BF,NOP,IMP,1,1,bbs_zpb,BBS,no,NOP,IMP,1,match,mismatch
